번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자
1703,"춘희 / 마농 레스코(독서회 선정도서, 스마트 비치)","아베 프레보 외 지음, 민희식 옮김",동서문화사,2012,9.78895E+12,9.78895E+12,,,863,1,1,2021-02-10
1704,이제 나부터 좋아하기로 했습니다 :실은 조금도 괜찮지 않은 나를 위해 ,엔도 슈사쿠 지음 ;김영주 옮김,북스토리,2018,9.79116E+12,,,,834,1,2,2021-02-10
1705,그 산이 정말 거기 있었을까,박완서 지음,웅진지식하우스,2021,9.7889E+12,,,,,0,0,2021-02-10
1706,(정상회담 1주년)남북경협 성과의 평가와 향후 정책과제,조동호 저,한국개발연구원,2001,9.78898E+12,,9,,322.8311,1,1,2021-02-10
1707,(전환기의)남북경협,현대경제사회연구원 [편],현대경제사회연구원,1996,9.78899E+12,,9,,320.911,1,1,2021-02-10
1708,나진-선봉 가는 길,曺喜善 엮음,세종출판사,1995,9.78898E+12,,0,,327.9811,1,1,2021-02-10
1709,후카시로 준로의 청춘일기,深代惇郞 지음,현대미학사,1994,9.78898E+12,,0,,836,2,1,2021-02-10
1710,"생각이 많아서 찾아왔습니다 :정신과 의사와 가진 열두 번의 만남, 그 속에서 찾아낸 마음 정리법 ","권용석,박미정 지음",Whale Books(웨일북),2020,9.79119E+12,,0,,189,1,1,2021-02-09
1711,사랑 수업 ,윤홍균 지음,심플라이프,2021,9.79119E+12,,0,,189,1,1,2021-02-09
1712,하루 한 장 마음챙김 :전 세계 5천만 명의 삶을 바꾼 루이스 헤이의 긍정 확언 베스트 컬렉션 ,루이스 헤이 지음 ;로버트 홀든 편찬 ;박선령 옮김,니들북,2021,9.79114E+12,,0,,189.1,1,2,2021-02-09
1713,포토샵 & 일러스트레이터 CC 2021 : 무작정 따라하기,"민지영,앤미디어 지음",길벗,2021,9.79117E+12,,0,2021,5.565,1,2,2021-02-09
1714,최초의 것들,김대웅 지음,노마드,2020,9.79119E+12,,,,1.3,1,2,2021-02-09
1715,처음 떠나는 컴퓨터과학 산책,김현철.김수환 지음,생능출판사,2020,9.78897E+12,,,,,1,1,2021-02-09
1716,진작 이렇게 책을 읽었더라면,장경철 지음,생각지도,2020,9.79119E+12,,,,,1,1,2021-02-09
1717,전염병 치료제를 내가 만든다면,예병일 지음,다른,2020,9.79116E+12,,,,513.97,1,0,2021-02-09
1718,시간순삭 파이썬,천인국.정영민.최자영 지음,생능출판,2020,9.78897E+12,,,,,1,1,2021-02-09
1719,시간순삭 인공지능 with 스크래치,이재우 지음,생능출판,2020,9.78897E+12,,,,,1,1,2021-02-09
